Page,Product Name,Current Price,Original Price,Discount,Rating Score,Ratings Count,Reviews Count,Highlights
36,"Whirlpool 8 kg 5 Star, Supersoak Technology Semi Automatic Top Load Washing Machine Purple","₹11,580","₹15,300",24% off,4.4,5603,638,"1400 rpm Max Speed | 2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor, Spin motor and Prime Mover from Whirlpool"
36,Whirlpool 6.5 kg Fully Automatic Top Load Washing Machine Red,"₹21,832","₹22,400",2% off,4.6,48,3,"740 RPM Max Speed | 5 Star Rating | 2 Year Product Warranty, 10 Years Motor Warranty"
37,Godrej 7 kg Fully Automatic Top Load Washing Machine Brown,"₹20,887","₹24,300",14% off,4.3,159,19,700 rpm Max Speed | 2 Years comprehensive warranty and 10 Years Warranty on Motor from Godrej
37,Kelvinator 7.5 kg Semi Automatic Top Load Washing Machine Maroon,"₹9,190","₹15,192",39% off,3.9,8,0,1450 RPM Max Speed | 5 Star Rating | 1 Years Warranty on Product
37,Whirlpool 7 kg Magic Clean 5 Star Fully Automatic Top Load Washing Machine Grey,"₹14,490","₹19,550",25% off,4.1,46397,2890,740 rpm Max Speed | 5 Star Rating | 2 Years Comprehensive Warranty on Product and 5 Years on Prime Mover and Motor
37,"Samsung 9 kg 5 star, Ecobubble, Wi-Fi, Digital Inverter, Fully Automatic Top Load Washing Machine Grey","₹23,490","₹30,500",22% off,4.3,104648,6680,"700 rpm Max Speed | 5 Star Rating | 2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor"
37,"BLACK+DECKER 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, White","₹24,488","₹41,999",41% off,3.7,11,1,"1400 rpm Max Speed | 5 Star Rating | With In-Built Heater | 2 Years Comprehensive Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Motor"
37,"IFB 6.5 kg 5 Star 3D Wash Technology, Aqua Energie, Anti- Allergen, In-built heater Fully Automatic Fr...","₹32,900","₹38,790",15% off,4.3,437,37,1000 rpm Max Speed | 5 Star Rating | With In-Built Heater | 4 Years Comprehensive Warranty and 10 Years Spare Part Support from IFB
37,"Godrej 7 kg Zero Pressure Technology Fills Tub 60% Faster, Fabrisafe Steel Drum Fully Automatic Top Lo...","₹13,990","₹27,300",48% off,4.2,9824,678,720 rpm Max Speed | 5 Star Rating | 2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor
37,"Whirlpool 7 kg 5 Star with Ace Wash Station, 1400 RPM Speed and Rust Proof Semi Automatic Top Load Was...","₹10,490","₹12,800",18% off,4.4,41641,2713,1400 rpm Max Speed | 5 Star Rating | 4 Years Comprehensive Warranty and 5 Years Warranty on Motor
37,Acer 10 kg Semi Automatic Top Load Washing Machine Grey,"₹13,499","₹21,999",38% off,3.7,9,0,1300 RPM Max Speed | 5 Star Rating | 2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor
37,Summercool 8 kg Semi Automatic Top Load Washing Machine Black,"₹8,799","₹11,490",23% off,N/A,N/A,N/A,1300 RPM Max Speed | 3 Star Rating | 2 Years Comprehensive & 5 years on Motor provided by the manufacturer from date of purchase
37,"Lloyd 7.5 kg Semi Automatic Top Load Washing Machine Black, Red","₹13,490","₹16,990",20% off,4.1,7,0,600 RPM Max Speed | 5 Star Rating | 1 year warranty
37,Godrej 7.5 kg 5 Star With Flexi Wash Technology And Soft-Close Lid Washing Machine Fully Automatic Top...,"₹18,690","₹35,590",47% off,3.9,16,0,670 rpm Max Speed | 5 Star Rating | 3 Years Comprehensive Warranty on Product and 12 Years Warranty on Motor
37,"Samsung 8 kg 5 star, Ecobubble, Digital Inverter, Fully Automatic Top Load Washing Machine Grey","₹19,490","₹27,000",27% off,4.3,104648,6680,"700 rpm Max Speed | 5 Star Rating | 2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor"
37,Whirlpool 7.5 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey,"₹17,490","₹23,250",24% off,4.1,46397,2890,740 rpm Max Speed | 5 Star Rating | With In-Built Heater | 2 Years Comprehensive Warranty on Product and 10 Years Additional Warranty on Motor
37,Godrej 8 kg Fully Automatic Top Load Washing Machine Black,"₹19,299","₹36,000",46% off,N/A,N/A,N/A,670 RPM Max Speed | 5 Star Rating | 12 Year Warranty on Wash Motor and 3 year Warranty on Entire Washing Machine
37,"IFB 7 kg with Steam,inverter Fully Automatic Front Load Washing Machine with In-built Heater Silver","₹35,935","₹42,500",15% off,N/A,N/A,N/A,1000 RPM Max Speed | 5 Star Rating | With In-Built Heater | 4 Year Machine warranty
37,"Samsung 10 kg 5 Star, AI Wash, Ecobubble, AI Energy Mode, AI VRT+, Soft Closing Door, Wi-Fi, Digital I...","₹25,990","₹33,990",23% off,4.3,104648,6680,"700 rpm Max Speed | 5 Star Rating | 2 Years comprehensive warranty on product, 20 Years warranty on Digital Inverter Motor."
37,"IFB 8 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Touch Panel with AI Fully Auto...","₹33,990","₹45,990",26% off,4.3,28925,2208,"1200 RPM Max Speed | 5 Star Rating | With In-Built Heater | With Wi-Fi Connectivity | 4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support"
37,LG 7.5 kg Semi Automatic Top Load Washing Machine Blue,"₹12,490","₹17,790",29% off,7.5,N/A,N/A,1300 RPM Max Speed | 5 Star Rating | 2 YEARS COMPREHENSIVE AND 5 YEARS ON WASH MOTOR BY LG
37,LG 7.5 kg Fully Automatic Top Load Washing Machine Grey,"₹30,990","₹31,156",N/A,4,4,0,700 rpm Max Speed | 5 Star Rating | 2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor
37,"Samsung 12/7 kg Washer with Dryer 5 Star, AI EcoBubble, AI Energy Mode, Air Wash, Super Speed, Hygiene...","₹53,890","₹86,990",38% off,N/A,N/A,N/A,"1400 RPM Max Speed | 5 Star Rating | With In-Built Heater | With Wi-Fi Connectivity | 2 Years comprehensive warranty on product, 20 Years warranty on Digital Inverter Motor."
37,"BOSCH 9/6 kg Washer with Dryer Inverter,1400RPM Ready to Wear Clothes with In-built Heater Silver","₹72,998","₹80,740",9% off,4.4,71,5,"1400 RPM Max Speed | 5 Star Rating | With In-Built Heater | 2 Years Comprehensive on Product , 12 Years on Motor"
37,"IFB 9 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Touch Panel with AI Fully Auto...","₹36,490","₹48,990",25% off,4.3,28925,2208,"1400 rpm Max Speed | 5 Star Rating | With In-Built Heater | With Wi-Fi Connectivity | 4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support"
37,Whirlpool 10 kg Bloomwash Fully Automatic Top Load Washing Machine with In-built Heater Grey,"₹24,990","₹31,200",19% off,4.1,46397,2890,740 rpm Max Speed | 5 Star Rating | With In-Built Heater | 2 Years Comprehensive Warranty on Product and 10 Years Additional Warranty on Motor & Prime Mover
38,"Voltas Beko by A Tata Product 8.5 kg Semi Automatic Top Load Washing Machine White, Grey","₹12,510","₹18,490",32% off,4.7,11,1,1300 rpm Max Speed | 5 Star Rating | 2 Years Comprehensive and Additional 3 Years On Wash and Spin Motor from Voltas Beko
38,"Voltas Beko by A Tata Product 8 kg Semi Automatic Top Load Washing Machine Grey, White","₹12,998","₹17,399",25% off,4.3,24,1,600 RPM Max Speed | 5 Star Rating | 2 Years Comprehensive Warranty and 5 Years on Motor from Lloyd
38,"Godrej 7 kg Zero Pressure Technology Fills Tub 60% Faster, Fabrisafe Steel Drum Fully Automatic Top Lo...","₹13,990","₹27,300",48% off,4.2,9824,678,720 rpm Max Speed | 5 Star Rating | 2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor
38,Voltas Beko by A Tata Product 14 kg Semi Automatic Top Load Washing Machine Blue,"₹15,900","₹24,590",35% off,4.3,22167,1453,"1350 rpm Max Speed | 5 Star Rating | 2 Years Comprehensive Warranty on Product, 5 Years Warranty on Spin Motor and 10 Years Warranty on Wash Motor"
38,Samsung 8 kg with Wi-Fi Enabled Fully Automatic Top Load Washing Machine Grey,"₹27,057","₹32,000",15% off,4.1,210,14,"700 rpm Max Speed | 5 Star Rating | 2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor"
38,Godrej 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Silver,"₹28,990","₹46,500",37% off,3.2,5,0,1400 rpm Max Speed | With In-Built Heater | 2 Years Warranty on Product and 10 Years on Motor
38,"Voltas Beko 7 kg Semi Automatic Top Load Washing Machine Maroon, White","₹9,150","₹12,990",29% off,N/A,N/A,N/A,1350 rpm Max Speed | 5 Star Rating | 1 Year Warranty on Product and 5 Years Warranty on Motor
38,Godrej 6.5 kg Fully Automatic Top Load Washing Machine Grey,"₹19,990","₹23,200",13% off,4.3,159,19,700 rpm Max Speed | 2 Years Comprehensive Warranty and 10 Years Warranty on Motor from Godrej
38,LG 8 kg with Wi-Fi Enabled Fully Automatic Front Load Washing Machine Black,"₹39,990","₹57,990",31% off,4.5,82,9,1400 rpm Max Speed | 5 Star Rating | With Wi-Fi Connectivity | 2 Years Comprehensive Warranty and 10 Years on Motor From LG
38,Lloyd by Havells 6 kg Fully Automatic Front Load Washing Machine with In-built Heater White,"₹24,695","₹33,990",27% off,N/A,N/A,N/A,1000 rpm Max Speed | 5 Star Rating | With In-Built Heater | 2 Years Warranty on Product
38,"BLACK+DECKER 6 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, White","₹19,990","₹28,999",31% off,3.9,45,7,"1000 rpm Max Speed | 5 Star Rating | With In-Built Heater | 2 Years Comprehensive Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Motor"
38,LG 7 kg with Steam AI Direct Drive Technology Fully Automatic Front Load Washing Machine with In-built...,"₹37,990","₹43,990",13% off,4,10,0,1200 RPM Max Speed | 5 Star Rating | With In-Built Heater | 2 Years Warranty on Product and 10 Years Warranty on Motor (T&C)
38,Intex 6 kg Fully Automatic Front Load Washing Machine with In-built Heater White,"₹22,390","₹23,490",4% off,3.9,180,41,1000 rpm Max Speed | With In-Built Heater | 2 Years Comprehensive Warranty and 5 Years Warranty on Motor from Intex
38,Samsung 10 kg Wi-Fi EnabledInverter 5 Star with Ecobubble Technology Fully Automatic Top Load Washing ...,"₹33,293","₹34,990",4% off,4.3,24717,1969,"700 rpm Max Speed | 5 Star Rating | 2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor"
